"mois","dieu_fete","dieu","quantite_totale","quantite","part_dieu"
"PYANEPSION","DÉMÉTER","KRONOS","26581522","141630","0.53"
"SCIROPHORION","ATHENA","APOLLON","26684947","2292533","8.59"
"SCIROPHORION","ATHENA","ATHENA","26684947","1643283","6.16"
"SCIROPHORION","ATHENA","STYX","26684947","1263956","4.74"
"SCIROPHORION","ATHENA","ARTÉMIS","26684947","1119156","4.19"
"SCIROPHORION","ATHENA","PAN","26684947","1074246","4.03"
"SCIROPHORION","ATHENA","HÉRA","26684947","1018067","3.82"
"SCIROPHORION","ATHENA","DIONYSOS","26684947","1011589","3.79"
"SCIROPHORION","ATHENA","APHRODITE","26684947","983055","3.68"
"SCIROPHORION","ATHENA","DÉMÉTER","26684947","965564","3.62"
"SCIROPHORION","ATHENA","ARÈS","26684947","945286","3.54"
"SCIROPHORION","ATHENA","HÉCATE","26684947","920493","3.45"
"SCIROPHORION","ATHENA","ASCLÉPIOS","26684947","906463","3.40"
"SCIROPHORION","ATHENA","ZEUS","26684947","852177","3.19"
"SCIROPHORION","ATHENA","HERMÈS","26684947","824788","3.09"
"SCIROPHORION","ATHENA","HÉPHAISTOS","26684947","784929","2.94"
"SCIROPHORION","ATHENA","POSEIDON","26684947","767820","2.88"
"SCIROPHORION","ATHENA","HADES","26684947","732299","2.74"
"SCIROPHORION","ATHENA","BRITOMARTIS","26684947","437015","1.64"
"SCIROPHORION","ATHENA","ZÉLOS","26684947","432083","1.62"
"SCIROPHORION","ATHENA","MUSES","26684947","433550","1.62"
"SCIROPHORION","ATHENA","TRITON","26684947","431053","1.62"
"SCIROPHORION","ATHENA","FLEUVES","26684947","430423","1.61"
"SCIROPHORION","ATHENA","NIKÈ","26684947","428181","1.60"
"SCIROPHORION","ATHENA","HYGIE","26684947","425557","1.59"
"SCIROPHORION","ATHENA","EOLE","26684947","423718","1.59"
"SCIROPHORION","ATHENA","HARPOCRATES","26684947","423890","1.59"
"SCIROPHORION","ATHENA","PAION","26684947","422216","1.58"
"SCIROPHORION","ATHENA","PROTÉE","26684947","421938","1.58"
"SCIROPHORION","ATHENA","PHOBOS","26684947","421790","1.58"
"SCIROPHORION","ATHENA","NÉRÉE","26684947","418528","1.57"
"SCIROPHORION","ATHENA","CRATOS","26684947","419555","1.57"
"SCIROPHORION","ATHENA","KHARITES","26684947","415355","1.56"
"SCIROPHORION","ATHENA","IASÔ","26684947","417306","1.56"
"SCIROPHORION","ATHENA","PERSÉPHONE","26684947","413384","1.55"
"SCIROPHORION","ATHENA","DEIMOS","26684947","412108","1.54"
"SCIROPHORION","ATHENA","BIA","26684947","404981","1.52"
"SCIROPHORION","ATHENA","PLOUTOS","26684947","404144","1.51"
"SCIROPHORION","ATHENA","KRONOS","26684947","142468","0.53"
"THARGÉLION","APOLLON","APOLLON","26953781","2385216","8.85"
"THARGÉLION","APOLLON","ZEUS","26953781","1969961","7.31"
"THARGÉLION","APOLLON","STYX","26953781","1278091","4.74"
"THARGÉLION","APOLLON","ARTÉMIS","26953781","1122101","4.16"
"THARGÉLION","APOLLON","PAN","26953781","1055407","3.92"
"THARGÉLION","APOLLON","APHRODITE","26953781","1018037","3.78"
"THARGÉLION","APOLLON","DIONYSOS","26953781","998809","3.71"
"THARGÉLION","APOLLON","HÉRA","26953781","979295","3.63"
"THARGÉLION","APOLLON","ARÈS","26953781","961519","3.57"
"THARGÉLION","APOLLON","DÉMÉTER","26953781","952163","3.53"
"THARGÉLION","APOLLON","HÉCATE","26953781","934185","3.47"
"THARGÉLION","APOLLON","ASCLÉPIOS","26953781","892767","3.31"
"THARGÉLION","APOLLON","HERMÈS","26953781","806581","2.99"
"THARGÉLION","APOLLON","HÉPHAISTOS","26953781","761700","2.83"
"THARGÉLION","APOLLON","POSEIDON","26953781","751810","2.79"
"THARGÉLION","APOLLON","HADES","26953781","728258","2.70"
"THARGÉLION","APOLLON","ATHENA","26953781","701268","2.60"
"THARGÉLION","APOLLON","BIA","26953781","438554","1.63"
"THARGÉLION","APOLLON","NÉRÉE","26953781","436429","1.62"
"THARGÉLION","APOLLON","ZÉLOS","26953781","432834","1.61"
"THARGÉLION","APOLLON","EOLE","26953781","434052","1.61"
"THARGÉLION","APOLLON","HARPOCRATES","26953781","431386","1.60"
"THARGÉLION","APOLLON","MUSES","26953781","431708","1.60"
"THARGÉLION","APOLLON","FLEUVES","26953781","429305","1.59"
"THARGÉLION","APOLLON","IASÔ","26953781","429350","1.59"
"THARGÉLION","APOLLON","PLOUTOS","26953781","427925","1.59"
"THARGÉLION","APOLLON","PAION","26953781","424570","1.58"
"THARGÉLION","APOLLON","CRATOS","26953781","426349","1.58"
"THARGÉLION","APOLLON","KHARITES","26953781","425824","1.58"
"THARGÉLION","APOLLON","PHOBOS","26953781","421964","1.57"
"THARGÉLION","APOLLON","TRITON","26953781","423093","1.57"
"THARGÉLION","APOLLON","HYGIE","26953781","421044","1.56"
"THARGÉLION","APOLLON","NIKÈ","26953781","421231","1.56"
"THARGÉLION","APOLLON","PROTÉE","26953781","420092","1.56"
"THARGÉLION","APOLLON","BRITOMARTIS","26953781","413647","1.53"
"THARGÉLION","APOLLON","PERSÉPHONE","26953781","413385","1.53"
"THARGÉLION","APOLLON","DEIMOS","26953781","410797","1.52"
"THARGÉLION","APOLLON","KRONOS","26953781","143074","0.53"
